customer_id,session_id,search_id,merchant_uuid,event_date,restaurant_position,eta_in_minutes,distance,rating,search_label,day_of_week,hour,booking_label,clicked_label,cuisine_orders_24_weeks,cuisine_orders_4_weeks,cuisine_visits_4_weeks,search_query,breakfast_meals,merchant_lunch_bookings,merchant_afternoon_bookings,merchant_dinner_bookings,merchant_midnight_snack_bookings,daily_orders_avg_4wk,customer_brand_visits_4wk,customer_brand_orders_4wk,customer_brand_orders_24wk,days_since_last_order,int_order_count_24weeks,int_order_count_4weeks,int_merchant_visits_4weeks,cust_total_orders_6months,cust_orders_uniq_restaurants_6months,cust_orders_dist_avg_6months,cust_orders_dist_std_6months,cust_orders_dist_median_6months,cust_orders_dist_perc_75_6months,cust_orders_dist_perc_90_6months,cust_orders_gbv_avg_6months,cust_orders_gbv_std_6months,cust_orders_price_median_6months,cust_orders_price_perc_75_6months,cust_orders_price_perc_90_6months,jakarta_week_start_date,lifetime_avg_basket_size,weekday_completed_order,weekend_completed_order,lifetime_total_normalized_gmv,total_voucher_transaction_percentage,average_customer_tenure_age_in_day,image_menu_item_percentage,active_item_with_image_count,active_item_count,average_feedback_rating,booking_completion_rate_percentage,event_month,overall_engagement_level,involvement_engagement_level,interaction_engagement_level,intimacy_engagement_level,last_order_days_since_epoch,last_visit_days_since_epoch
549209770,30615336-2cae-4439-8222-977879e6b9d6,6efad1d6-aba0-4790-a761-0fba8fb67eca,c9e4134d-f5f2-47c1-af07-c4bd7e979596,2022-11-03,33,23,1.6,4.5,0,5,16,0,0,,,,COFFEE_SHOP,1.0,7.0,12.0,13.0,0.0,3.0,,,,,,,,65.0,43.0,3.046615385,1.6521276782938463,2.87,4.55,5.25,98415.0,60612.21785354006,81800.0,120900.0,188000.0,2022-10-31,50236.10247615,9,7,436559600.0,0.246193488,1062,1,20,20,,0.915210634,2022-10-01,High,High,Moderate,Moderate,,
546008091,bff93bea-8d87-4778-aeb6-20c3f5855269,a6412339-766b-45c8-98fc-08c3002ae7e1,28c3b9a5-49dc-46d4-b41c-4c2dd2c454ff,2022-11-03,9,41,6.9,4.7,0,5,12,0,0,,,,BRAND,0.0,41.0,33.0,52.0,0.0,6.0,,,,,,,,14.0,13.0,4.444285714,3.2678544226254216,3.92,7.91,8.55,94975.0,60247.44728074505,67500.0,138000.0,183000.0,2022-10-31,251503.803821964,30,12,962387275.0,0.238802083,647,0.835051546,81,97,,0.928882438,2022-10-01,Moderate,Moderate,High,Low,,
571598409,A93CD0C5-B1B4-4235-A922-EB7AB2F9359B,e82bbcef-8a79-4d85-949b-cf2dc7878599,1b2a8f13-0361-419d-813a-5a997d95e299,2022-11-03,1,23,0.3,4.4,0,5,9,0,0,,,,NEAR_ME,26.0,19.0,14.0,36.0,0.0,5.0,,,,,,,,10.0,9.0,1.728,1.0453367346883438,1.28,1.71,2.75,39367.5,18449.706599594236,33100.0,53000.0,68000.0,2022-10-31,37669.584741288,14,10,133546592.0,0.211032532,1290,0.945054945,86,91,,0.933210137,2022-10-01,Moderate,Moderate,Moderate,Low,,
599871340,01F5E334-5955-4BAE-ABC0-A61F9F4F90F8,8e1ae2ea-ac43-4322-bcdc-2a2f9c6d64f2,b5bee995-2eec-48a3-8ea0-e2917345dd15,2022-11-03,8,28,3.0,4.4,0,5,22,0,0,,,,BRAND,,,,,,,,,,,,,,10.0,10.0,2.403,0.9591321308581234,2.39,2.47,2.48,68415.0,33787.68718861289,66450.0,81500.0,103000.0,2022-10-31,93486.07311828,0,0,39957489.0,0.231651376,328,1,92,92,,0.937634409,2022-10-01,High,High,Moderate,Moderate,,
588182750,6A5F3237-9533-419C-BEB3-9F7BE9AE8D7B,2e06cb99-0169-4593-b37c-9efc668d7096,dab8d07b-7fcf-4bf4-af45-50712027803c,2022-11-03,12,25,1.9,0.0,0,5,3,0,0,,,,NEAR_ME,1.0,0.0,2.0,6.0,0.0,2.0,,,,,,,,28.0,23.0,3.309642857,3.228163658872581,2.06,4.31,7.55,48727.5,29086.110803382886,37500.0,68000.0,96000.0,2022-10-31,47800.0,9,3,793000.0,0,14,1,50,50,,0.68,2022-10-01,Moderate,Moderate,Moderate,Low,,
550192473,78159490-498F-4278-848A-31EC22002F94,00eea5c4-8c7e-4f77-bbae-647d6b790f7e,994fdd0a-09ec-49dc-92a9-3bc76442623b,2022-11-03,7,27,2.6,4.7,0,5,20,0,0,,,,BEST_SELLER,25.0,26.0,18.0,74.0,0.0,9.0,,,,,,,,8.0,6.0,6.85125,3.642583217992418,5.99,8.57,12.55,74031.25,49611.78530421405,40000.0,104000.0,137000.0,2022-10-31,57438.458159455,27,20,241690900.0,0.238866397,804,0.9375,120,128,,0.922249067,2022-10-01,Moderate,Moderate,Moderate,Low,,
550192473,78159490-498F-4278-848A-31EC22002F94,00eea5c4-8c7e-4f77-bbae-647d6b790f7e,a8bc49b9-0be5-4a5c-9aef-b2d8d93885c0,2022-11-03,5,26,1.0,4.6,0,5,20,0,0,,,,BEST_SELLER,134.0,123.0,133.0,271.0,0.0,28.0,,,,,,,,8.0,6.0,6.85125,3.642583217992418,5.99,8.57,12.55,74031.25,49611.78530421405,40000.0,104000.0,137000.0,2022-10-31,130071.138916558,129,73,1617148391.0,0.151064521,808,0.808219178,118,146,,0.942916252,2022-10-01,Moderate,Moderate,Moderate,Low,,
628720770,24fcdec9-5b32-4bf3-a14e-0a07b8862d5d,c043e0f3-8b9c-4c16-bb8e-e07f8f031cf1,7e6ea358-f405-45b7-956d-ebce5244969c,2022-11-03,8,33,1.3,4.6,0,5,17,0,0,,,,ANEKA_AYAM_BEBEK,16.0,46.0,32.0,18.0,0.0,5.0,,,,,,,,16.0,13.0,3.926875,2.134562308764961,3.75,4.84,5.7,80431.25,41545.536763893186,73800.0,108000.0,138500.0,2022-10-31,87353.669064748,46,27,602458370.0,0.204758472,1428,0.793103448,46,58,,0.80471107,2022-10-01,Moderate,Moderate,Moderate,Low,,
542670377,7834521D-57DE-46FF-A8CB-51EC9873F943,98bc4fc5-0dc9-45e7-be88-224bf39136c5,f9cfad4b-b1be-4de8-9233-76a0331c2e88,2022-11-03,18,15,0.6,4.2,0,5,20,0,0,,,,MINUMAN,3.0,8.0,5.0,4.0,0.0,2.0,,,,,,,,8.0,7.0,1.20875,1.20781310640347,0.9,1.25,3.94,74687.5,41338.27135441719,55500.0,69000.0,165500.0,2022-10-31,35519.914651494,5,7,23365400.0,0.260273973,408,0.764705882,39,51,,0.934566145,2022-10-01,High,High,Moderate,Moderate,,
671534105,312a1e27-7368-42be-bf81-effe08b70549,c8c31abd-0dbb-4099-8199-eb9907f24f1b,4f1d22cc-a97d-4627-8b26-5c673ecd28b3,2022-11-03,25,18,1.5,4.1,0,5,11,0,0,,,,NEAR_ME,4.0,2.0,6.0,7.0,0.0,2.0,,,,,,,,32.0,13.0,2.2184375,1.0335473189379725,1.91,2.18,3.37,39783.75,15258.856708958117,34200.0,45600.0,61100.0,2022-10-31,77506.783369803,3,4,37939200.0,0.406779661,969,0.8125,39,48,,0.580962801,2022-10-01,Moderate,High,Moderate,Low,,
